pair_id,company_a_global_id,company_b_global_id,current_identity_state_a,current_identity_state_b,source_id,assisted_bucket
FZ-02478-292588-346508,52fc42e9-75a0-4dab-abdf-bdff39d350ec,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02479-300661-555795,ce8a86d6-f3fc-4b26-b487-9dd421f2d2e8,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02480-295168-553608,b28a6fec-653c-48f6-a061-74d972a03186,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02481-297131-554353,8bee8e45-dd1f-44c6-bb3b-9629111d9130,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02516-297034-346944,06e996ac-8c9d-432b-adb3-1bf4324bc686,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02519-294064-553073,3e536975-b5e2-40d1-883f-6b9dc2f4c84e,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02521-298096-554747,54ad8d54-e2e6-46eb-86af-333e3d3b81eb,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02550-286170-549653,310fb643-5400-433f-87e1-f58981cee4d5,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02555-301220-556058,d216c961-d399-429a-a554-920d85aaced4,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02563-300886-555912,d47dc025-d943-4ff9-88f5-dc813de0ce72,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02566-297311-554435,089df6d7-c877-4cef-b589-e9bf10639e89,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02569-300833-555893,ac0ec8c1-8dc7-430e-b8f8-b6bcda49d456,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02593-296747-554128,9fe7f473-1b22-4c02-96ff-a6409452ff7a,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02594-287268-287970,251314b1-de62-41e3-a5db-5d257c35e26b,a803b89e-e42d-4e20-bb76-dcd8ac295f71,DETERMINISTIC_SINGLE_SOURCE,DETERMINISTIC_SINGLE_SOURCE,SFDA,HIGH_SEPARATE_CANDIDATE
FZ-02595-287268-343295,251314b1-de62-41e3-a5db-5d257c35e26b,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02596-287970-343295,a803b89e-e42d-4e20-bb76-dcd8ac295f71,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-02652-302704-556664,895f144a-ed1c-44b7-8fb9-011314f80342,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
