pair_id,company_a_global_id,company_b_global_id,current_identity_state_a,current_identity_state_b,source_id,assisted_bucket
FZ-01461-104578-438581,b63a0577-4180-4985-a98a-30d8eb55d7cc,,REVIEW_REQUIRED,,Saudi Companies Directory,UNSURE
FZ-01462-129426-462084,8a9eb6ff-78b9-4e19-b2f1-b662325c65c3,,REVIEW_REQUIRED,,Saudi Companies Directory,UNSURE
FZ-01463-292481-552386,db72398d-aec8-4e36-830d-35e60389b7a1,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01464-292519-552409,54a3f735-a96e-4cd5-b210-8893767c4270,,DETERMINISTIC_SINGLE_SOURCE,,SFDA,ESCALATE
FZ-01465-246455-263616,a186d305-a350-443f-968f-d955337ced4d,53fd3f49-274d-4cba-99f3-092c255c82dc,REVIEW_REQUIRED,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01466-226929-251986,0d7e1797-3727-4942-82fe-fb9fe3d13c94,1b951f96-73c2-4d95-a2cd-11af56290e10,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01467-262897-266539,f43b465c-3ecc-4f29-a25d-774d89b45c01,82ceccff-0c28-4b58-8aa8-a7c23bbd9c56,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01468-315166-317983,dd0628aa-2937-4b4b-9867-696be843d34b,994000f4-919c-4222-9b7b-888361fc6434,REVIEW_REQUIRED,REVIEW_REQUIRED,Balady,UNSURE
FZ-01469-315166-566653,dd0628aa-2937-4b4b-9867-696be843d34b,,REVIEW_REQUIRED,,Balady,UNSURE
FZ-01470-317983-566653,994000f4-919c-4222-9b7b-888361fc6434,,REVIEW_REQUIRED,,Balady,UNSURE
FZ-01471-253856-262520,f6108780-858d-4b92-8b0a-39a2031f7037,d2b17a11-2515-45c7-9af4-eee8a38676cc,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01472-250160-276646,8a134ec6-9e0d-4e5c-b1fe-aca6da28afe1,c105dca8-ccfd-4218-8e93-4a2c083a00db,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01473-234771-252751,d7d2218e-860e-43df-b664-e811ce165e27,ddf206c6-d57b-428a-93e8-b66621f2fc10,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01474-234771-254888,d7d2218e-860e-43df-b664-e811ce165e27,d6232639-eb12-4ca6-8f18-fb04a5445104,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01475-234771-271052,d7d2218e-860e-43df-b664-e811ce165e27,97e01e51-118f-4cfb-86a4-ab19601afe61,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01476-234771-278122,d7d2218e-860e-43df-b664-e811ce165e27,6ac3ac84-cb29-42a2-9f33-3ca340119fb9,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01477-240129-254888,9d879b7b-21fb-475e-bb1b-51def5d15dad,d6232639-eb12-4ca6-8f18-fb04a5445104,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01478-240129-260952,9d879b7b-21fb-475e-bb1b-51def5d15dad,62428b24-9284-483e-ada6-847b4e29f5f2,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01479-241813-278122,07989215-95b9-48d1-a367-eee386157869,6ac3ac84-cb29-42a2-9f33-3ca340119fb9,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01480-252751-254888,ddf206c6-d57b-428a-93e8-b66621f2fc10,d6232639-eb12-4ca6-8f18-fb04a5445104,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01481-252751-271052,ddf206c6-d57b-428a-93e8-b66621f2fc10,97e01e51-118f-4cfb-86a4-ab19601afe61,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01482-254888-260952,d6232639-eb12-4ca6-8f18-fb04a5445104,62428b24-9284-483e-ada6-847b4e29f5f2,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01483-254888-271052,d6232639-eb12-4ca6-8f18-fb04a5445104,97e01e51-118f-4cfb-86a4-ab19601afe61,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
FZ-01484-260952-271052,62428b24-9284-483e-ada6-847b4e29f5f2,97e01e51-118f-4cfb-86a4-ab19601afe61,NO_VERIFIABLE_IDENTITY,NO_VERIFIABLE_IDENTITY,Contractors,UNSURE
